GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,UnaryOp,6,75,0,0,2,10,2,2,2,2
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,ComparisionOp,3,126,0,0,1,15,1,3,1,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,ArithmeticOp,3,78,0,0,1,11,1,3,1,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,LikeOp,3,66,0,0,1,10,1,3,1,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,FunctionOp,3,78,0,0,1,11,1,3,1,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operator,BooleanOp,3,42,0,0,1,8,1,3,1,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,SqlDateOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,LocalDateTimeOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,StringOperation,24,18,1,1,5,6,5,2,4,2
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,OperationMixin,14,18,0,0,4,6,3,3,3,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,LocalTimeOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,EnumOperator,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,SubQueryOperation,86,0,2,0,22,0,13,0,12,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,UtilDateOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,SqlTimeOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,SqlTimestampOperation,16,26,1,1,3,8,3,4,2,4
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,GeneralOperation,42,0,2,0,11,0,7,0,6,0
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,PredicateOperation,32,19,1,1,6,6,6,3,5,3
sqlmapper-core/sqlmapper-metamodel,com.github.mygreen.sqlmapper.metamodel.operation,LocalDateOperation,42,0,2,0,11,0,7,0,6,0
